item_id,post_url,post_uri,post_cid,author_handle,author_did,post_datetime,text,post_type,parent_post_uri,root_post_uri,language,like_count,repost_count,reply_count,quote_count,collector,collection_datetime,search_term_or_method_that_surfaced_it,Has_image,detected_language,engagement_as_of_datetime,enrichment_status,Has_relevant_replies,Seems_relevant_to_collector,source_item_id,snowball_depth,snowball_edge_type
1,https://bsky.app/profile/mdruker.app/post/3moy3relwmk2q,at://did:plc:f6yekxxpke7gyas3d7qeipty/app.bsky.feed.post/3moy3relwmk2q,bafyreidmpvjamb54kzlvbfar54kkh5un2zgqk2qh5qzxand52w5nc253qi,mdruker.app,did:plc:f6yekxxpke7gyas3d7qeipty,2026-06-23T19:04:45.714Z,"Do yourself a favour and subscribe to this labeler, it’s super useful for better understanding what kind of accounts you’re interacting with: @stechlab-labels.bsky.social",post,,,en,6,0,2,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
2,https://bsky.app/profile/cybercod.bsky.social/post/3mouyoxp73m2p,at://did:plc:yytz6pkrybuult75bykqhxn6/app.bsky.feed.post/3mouyoxp73m2p,bafyreifhp4ts23t7at6n6ghfpjqefuiy4yto32tnifwv3ch4ju4xwyv4cq,cybercod.bsky.social,did:plc:yytz6pkrybuult75bykqhxn6,2026-06-22T13:31:44.606516+00:00,Great tip! Automated behavioral analysis is a huge help for situational awareness. I’ll definitely check out @stechlab-labels.bsky.social—it sounds like a solid way to spot anomalies at a glance. Thanks for the recommendation!,reply,at://did:plc:c6te24qg5hx54qgegqylpqkx/app.bsky.feed.post/3motishflhk2g,at://did:plc:7jhguqneakum7yhv4wt3kwfi/app.bsky.feed.post/3mot5nqvjbc2l,en,0,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
3,https://bsky.app/profile/y2k.bsky.social/post/3motnaliilc2s,at://did:plc:mejjela4pax4sinutor7au4u/app.bsky.feed.post/3motnaliilc2s,bafyreicvszrss6xrrsotjiybjuh4vtx3kd4rxuouinktgnfz33nito5pbe,y2k.bsky.social,did:plc:mejjela4pax4sinutor7au4u,2026-06-22T00:34:11.177Z,@stechlab-labels.bsky.social,reply,at://did:plc:fd3hafrogxfdpzqh7tc4mvvy/app.bsky.feed.post/3motm4anass27,at://did:plc:fd3hafrogxfdpzqh7tc4mvvy/app.bsky.feed.post/3motm4anass27,en,1,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,
4,https://bsky.app/profile/metaflame.dev/post/3motishflhk2g,at://did:plc:c6te24qg5hx54qgegqylpqkx/app.bsky.feed.post/3motishflhk2g,bafyreiedwjuwzph4twclujkmg4vt55s55x5bdry5gczkjxvp4b5hsmjlsy,metaflame.dev,did:plc:c6te24qg5hx54qgegqylpqkx,2026-06-21T23:14:42.140Z,"I highly recommend the account activity labeler, @stechlab-labels.bsky.social
it can help quickly indicate if an account behaves in an unusual way (e.g. a significant number of replies per day)",reply,at://did:plc:cdgrfboghw7qijnegwnjxqxl/app.bsky.feed.post/3mot7uvk6gcmu,at://did:plc:7jhguqneakum7yhv4wt3kwfi/app.bsky.feed.post/3mot5nqvjbc2l,en,4,0,2,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
5,https://bsky.app/profile/del.winters.rodeo/post/3motdsljuy22e,at://did:plc:gq5kznnsbf7jcb3a7jb7cpgp/app.bsky.feed.post/3motdsljuy22e,bafyreicjmyvlxyv7c2s2wpwhicjgljeyg4nntxxi4xkjqofixyi23jkzf4,del.winters.rodeo,did:plc:gq5kznnsbf7jcb3a7jb7cpgp,2026-06-21T21:45:17.780Z,More people should use the @skywatch.blue and @stechlab-labels.bsky.social labelers and limit the reach of these accounts @musicologyduck.bsky.social,quote,,,en,2,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
6,https://bsky.app/profile/tbone.malware-virus.biz/post/3mosuiplj4224,at://did:plc:yjl44ckrkaif35o6jfl767vp/app.bsky.feed.post/3mosuiplj4224,bafyreihypegkr4plk5b7okw44woidw57ucc6hsnyz67seij4ybc4j3pxgm,tbone.malware-virus.biz,did:plc:yjl44ckrkaif35o6jfl767vp,2026-06-21T17:11:20.360Z,@stechlab-labels.bsky.social,reply,at://did:plc:qa2jk3w7bcvw7adyucor3nfb/app.bsky.feed.post/3mostgixnis2j,at://did:plc:xy6tjlsgcxht6wvubvmg6nop/app.bsky.feed.post/3mosrjn4dws2n,en,4,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,
7,https://bsky.app/profile/woofymcgrrr.bsky.social/post/3mopqxyajbs2k,at://did:plc:pkqm7egeyg6rngsviiarl5ql/app.bsky.feed.post/3mopqxyajbs2k,bafyreicg3nlt6q2ocalwgycgp45q7qrgyqd6iqpsasbrrtud2on7mntkje,woofymcgrrr.bsky.social,did:plc:pkqm7egeyg6rngsviiarl5ql,2026-06-20T11:30:18.571Z,"This looks like a useful subscription to ferret out bot-like posting: frequent profile changes, always posting/replying, etc etc etc

@stechlab-labels.bsky.social",post,,,en,18,0,2,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
8,https://bsky.app/profile/xan.lol/post/3momxcy5g3222,at://did:plc:q7suwaz53ztc4mbiqyygbn43/app.bsky.feed.post/3momxcy5g3222,bafyreibrgt4woiw5dfejf5nprzl4a5ivxleoltbe2ofdty7wo3on2ofi6q,xan.lol,did:plc:q7suwaz53ztc4mbiqyygbn43,2026-06-19T08:45:50.805Z,u could subscribe to @stechlab-labels.bsky.social to get even more lol,reply,at://did:plc:asb3rgscdkkv636buq6blof6/app.bsky.feed.post/3momwsbtgdc2s,at://did:plc:asb3rgscdkkv636buq6blof6/app.bsky.feed.post/3momwsbtgdc2s,en,1,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
9,https://bsky.app/profile/aryafairywren.bsky.social/post/3momxc4tcfc2a,at://did:plc:zuehanbjit66bbnnew2ccaoi/app.bsky.feed.post/3momxc4tcfc2a,bafyreicmqzhuivguhla4z4ehqazblduduyom6qquh4rdohslcjb252zhfi,aryafairywren.bsky.social,did:plc:zuehanbjit66bbnnew2ccaoi,2026-06-19T08:45:22.162Z,@stechlab-labels.bsky.social iirc!,reply,at://did:plc:dyacnhqkudufbovpol3xx7h6/app.bsky.feed.post/3momwxurfrk2q,at://did:plc:butcwdww4sfcby62r3q6ixag/app.bsky.feed.post/3momv7zj3jk2b,en,4,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,
10,https://bsky.app/profile/byarielm.fyi/post/3mom2jdnvf22j,at://did:plc:6i6n57nrkq6xavqbdo6bvkqr/app.bsky.feed.post/3mom2jdnvf22j,bafyreicbqkvaxrkp4rytmuxl3ve4bhm5ckuycyjyj7daivnexkgfald4le,byarielm.fyi,did:plc:6i6n57nrkq6xavqbdo6bvkqr,2026-06-19T00:10:25.690Z,"@stechlab-labels.bsky.social idea: label for users that post but don’t interact / don’t reply 

insert numbers etc etc",reply,at://did:plc:dy6ekftqerqu5bcz76kgy6ux/app.bsky.feed.post/3molts63uy22x,at://did:plc:i6y3jdklpvkjvynvsrnqfdoq/app.bsky.feed.post/3mollshmtek2o,en,4,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
