item_id,post_url,post_uri,post_cid,author_handle,author_did,post_datetime,text,post_type,parent_post_uri,root_post_uri,language,like_count,repost_count,reply_count,quote_count,collector,collection_datetime,search_term_or_method_that_surfaced_it,Has_image,detected_language,engagement_as_of_datetime,enrichment_status,Has_relevant_replies,Seems_relevant_to_collector,source_item_id,snowball_depth,snowball_edge_type,engagement_score,sample_source
330,https://bsky.app/profile/glifo.bsky.social/post/3m5dbctfdis2w,at://did:plc:okk53n7x5nzhzutykolyqsbl/app.bsky.feed.post/3m5dbctfdis2w,bafyreifudsnddjoclwo67gclld6outpzdunlgnc4dhk5w6oprq2tqhl7oy,glifo.bsky.social,did:plc:okk53n7x5nzhzutykolyqsbl,2025-11-11T04:09:48.181Z,"esse aqui, Ni
@stechlab-labels.bsky.social",reply,at://did:plc:oqqfaqep3jvchxg5fsyto4no/app.bsky.feed.post/3m5dbas2yus2m,at://did:plc:okk53n7x5nzhzutykolyqsbl/app.bsky.feed.post/3m5db6w7hys2w,ia,1,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,fr,2026-06-26T14:06:34.776511+00:00,ok,,,,,,1.0,keyword_stratified
964,https://bsky.app/profile/sleep.church/post/3moh5nyie6k2g,at://did:plc:aobkgz6khzavtdmd5ng3ilme/app.bsky.feed.post/3moh5nyie6k2g,bafyreihtdskqihxsaleqhw6m2mwponaifcx7digs4uyq7766uysxc5jxfe,sleep.church,did:plc:aobkgz6khzavtdmd5ng3ilme,2026-06-17T01:23:24.282Z,"my favorite is when they have the “unfollowed 100+ in the past day” tag, really just going around doing that weird follow/unfollow thing to try and get you to follow them",reply,at://did:plc:ylw4lo5guiineg4j2ngodfjq/app.bsky.feed.post/3moh4pbztxc2h,at://did:plc:ylw4lo5guiineg4j2ngodfjq/app.bsky.feed.post/3moh4pbztxc2h,en,1,0,1,0,keyword search,2026-06-26T14:05:00.228985+00:00,unfollowed 100+ in the past day,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,1.0,keyword_stratified
907,https://bsky.app/profile/snarkyplatypus.com/post/3mcxi2m4hs226,at://did:plc:gzkfdyducwifykfqouc4s4e2/app.bsky.feed.post/3mcxi2m4hs226,bafyreiehruyy6yqvtfetda4i44ff6babkysmbdlz3yurkkxpx4t4shywki,snarkyplatypus.com,did:plc:gzkfdyducwifykfqouc4s4e2,2026-01-21T20:09:41.217Z,No break greater than 4 hours - do these people sleep?!,reply,at://did:plc:gzkfdyducwifykfqouc4s4e2/app.bsky.feed.post/3mcxhx7npdk26,at://did:plc:gzkfdyducwifykfqouc4s4e2/app.bsky.feed.post/3mcxhhqhqzk26,en,2,0,1,0,keyword search,2026-06-26T14:05:00.228985+00:00,no break greater than,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,2.0,keyword_stratified
843,https://bsky.app/profile/theyfab.bsky.social/post/3m6aj33gi7c2a,at://did:plc:nykyd3km66cj3sa5k6g6uhi6/app.bsky.feed.post/3m6aj33gi7c2a,bafyreignghh6lmzoqwlanu7dfwp3iiihw4dhomkt6qkmv7srw6unu43eny,theyfab.bsky.social,did:plc:nykyd3km66cj3sa5k6g6uhi6,2025-11-22T19:15:50.521Z,"me when one of my mutuals has the ""posted more than 100 times yesterday"" tag: lol loser. what's the matter, nothing else to do?

me when i have the ""posted more than 100 times yesterday"" tag: well that's just ridiculous. those posts shouldn't have even counted. i was doing plenty of other stuff yest",post,,,en,14,1,0,0,keyword search,2026-06-26T14:05:00.228985+00:00,posted more than 100 times yesterday,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,19.0,high_engagement
418,https://bsky.app/profile/drunk.moe/post/3mnb2wsones2m,at://did:plc:dadnngq7hpnuglhxm556wgzi/app.bsky.feed.post/3mnb2wsones2m,bafyreibee4jzm2gp74ow2twz5gnafzfm2zxl6xfgszto6hezuk5jytbzjy,drunk.moe,did:plc:dadnngq7hpnuglhxm556wgzi,2026-06-01T21:53:28.904Z,buddy r u ok bsky.app/profile/stec...,post,,,en,7,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,cy,2026-06-26T14:06:34.776511+00:00,ok,,,,,,7.0,keyword_stratified
747,https://bsky.app/profile/joeauerbach.bsky.social/post/3ml4l2hqdv22a,at://did:plc:4ebgwtyii57fim4pvxlcthno/app.bsky.feed.post/3ml4l2hqdv22a,bafyreiauhnypq7p7fqljme7nqiaef3y3ifxj4bcmajehevdca77w4fkxi4,joeauerbach.bsky.social,did:plc:4ebgwtyii57fim4pvxlcthno,2026-05-05T16:08:09.564Z,"I recently subscribed to the account activity labeler (linked) and it tells me who posts nonstop and helps me sort out which accounts are likely bots or farms or teams.  Very customizable.

It's not perfect (because of the existence of Gail Simone) but it's been helpful is pruning my feed.",reply,at://did:plc:vo4xpexxlmti3wzqmdwamjqc/app.bsky.feed.post/3ml4ksk5usc2a,at://did:plc:vo4xpexxlmti3wzqmdwamjqc/app.bsky.feed.post/3ml4ksk5usc2a,en,1,0,0,1,keyword search,2026-06-26T14:05:00.228985+00:00,account activity labeler,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,4.0,keyword_stratified
573,https://bsky.app/profile/ladyaranea.bsky.social/post/3mc65zapps22s,at://did:plc:mowyr5u5vzm5h5h3elsf2urd/app.bsky.feed.post/3mc65zapps22s,bafyreifkjse2wet52q2p6drkvjvtzs327ucucsi3itikknw2irvaekhs7a,ladyaranea.bsky.social,did:plc:mowyr5u5vzm5h5h3elsf2urd,2026-01-11T18:33:24.833Z,Ah ha! bsky.app/profile/stec...,reply,at://did:plc:l6uabazjem2n2i3gasazsoeh/app.bsky.feed.post/3mc65n5f2v22t,at://did:plc:mowyr5u5vzm5h5h3elsf2urd/app.bsky.feed.post/3mc65gzeytc2s,en,4,0,3,0,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,,4.0,keyword_stratified
975,https://bsky.app/profile/colophon.bsky.social/post/3m7avvuswe22k,at://did:plc:wsn4r2btwz56ewgtxn5mdiw6/app.bsky.feed.post/3m7avvuswe22k,bafyreigirodr3wwqhtld7hdje6fwdfu2ewss4w7pzmwfbly3vdu5r4j22a,colophon.bsky.social,did:plc:wsn4r2btwz56ewgtxn5mdiw6,2025-12-05T16:30:46.089Z,"""Posted the same url 5+ times yesterday"" is sending me",reply,at://did:plc:zj5kfeu2vgl6t4jokjjroszo/app.bsky.feed.post/3m7asuncumk2n,at://did:plc:aey6tdyzfrw5w6o6xwx7njiy/app.bsky.feed.post/3m7afsxx5u22d,en,6,0,0,0,keyword search,2026-06-26T14:05:00.228985+00:00,posted the same url,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,6.0,keyword_stratified
635,https://bsky.app/profile/danifinnwrites.bsky.social/post/3m7hxtxwnfs2p,at://did:plc:pxslkuul3wwr4fedt7xrlzix/app.bsky.feed.post/3m7hxtxwnfs2p,bafyreig6qyc3v74hsj7cscdml5oj74ox3trw2iscdbug26tlqfwo5ebana,danifinnwrites.bsky.social,did:plc:pxslkuul3wwr4fedt7xrlzix,2025-12-08T11:54:07.898Z,"One cool thing about the stechlab labeler is it can tell you if someone’s been mass unfollowing, usually a sign of a followback trash account

The funniest thing is it confirms how many of your moots are inveterate poasters

bsky.app/profile/stec...",post,,,en,17,9,0,0,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,62.0,high_engagement
318,https://bsky.app/profile/broberts.lol/post/3m5pjjkgtis2p,at://did:plc:ghceioqx6u4so7egjlbkzu2z/app.bsky.feed.post/3m5pjjkgtis2p,bafyreiehw4jtbhb3e52k5ebz7nlg7f73jbzoexlcqtdzuotxtlxy4pluhi,broberts.lol,did:plc:ghceioqx6u4so7egjlbkzu2z,2025-11-16T01:08:40.466Z,Also a good example of one of my favorite recent labelers from @stechlab-labels.bsky.social,reply,at://did:plc:pmyqirafcp3jqdhrl7crpq7t/app.bsky.feed.post/3m5pjf2ama225,at://did:plc:pmyqirafcp3jqdhrl7crpq7t/app.bsky.feed.post/3m5pjf2ama225,en,19,2,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,True,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,29.0,high_engagement
